medida500_l,medida500_m,grade
551.637,528.443,6to
390.601,445.195,6to
445.558,511.567,6to
394.009,440.747,6to
500.271,539.316,6to
403.869,427.049,6to
544.638,621.363,6to
546.221,432.698,6to
329.802,342.672,6to
489.499,408.338,6to
420.423,335.399,6to
398.817,324.172,6to
529.606,492.927,6to
424.257,363.784,6to
331.628,417.093,6to
651.266,602.723,6to
580.181,533.526,6to
424.257,475.91,6to
390.601,353.122,6to
445.558,511.567,6to
515.608,533.526,6to
324.081,345.637,6to
405.999,481.77,6to
418.293,342.672,6to
479.396,430.226,6to
460.469,539.316,6to
561.253,585.353,6to
449.879,444.136,6to
331.628,369.786,6to
445.558,427.049,6to
489.499,440.747,6to
533.136,428.532,6to
438.437,353.122,6to
463.938,370.774,6to
502.28,440.747,6to
381.959,363.784,6to
434.116,401.559,6to
445.558,443.148,6to
410.137,238.101,6to
449.879,380.8,6to
486.7,432.698,6to
418.293,410.95,6to
375.63,358.7,6to
491.203,458.893,6to
405.025,430.226,6to
365.405,397.111,6to
454.2,329.609,6to
403.869,322.76,6to
476.84,298.895,6to
405.999,268.745,6to
371.735,378.117,6to
451.583,375.717,6to
365.405,380.8,6to
434.116,294.235,6to
371.735,427.049,6to
438.498,358.7,6to
365.405,428.532,6to
447.384,401.559,6to
373.743,268.109,6to
532.588,575.044,6to
324.446,320.995,6to
381.959,459.882,6to
529.606,417.093,6to
329.802,360.889,6to
410.137,272.487,6to
516.947,548.637,6to
486.7,401.559,6to
424.805,298.895,6to
475.319,509.873,6to
388.532,342.672,6to
438.498,340.624,6to
381.959,363.784,6to
354.572,329.609,6to
299.98,394.71,6to
438.498,298.895,6to
475.319,428.532,6to
331.628,268.109,6to
352.625,394.71,6to
464.303,340.624,6to
410.989,276.653,6to
405.999,335.399,6to
371.735,273.687,6to
353.537,272.487,6to
294.503,459.882,6to
301.685,294.235,6to
299.98,300.307,6to
394.009,298.895,6to
390.601,369.786,6to
388.532,427.049,6to
396.931,345.637,6to
331.628,353.122,6to
403.869,511.567,6to
353.537,298.895,6to
324.081,397.111,6to
390.601,448.514,6to
403.869,322.76,6to
171.079,363.784,6to
177.591,234.006,6to
201.874,320.995,6to
177.591,91.306,6to
353.537,340.624,6to
331.628,179.778,6to
176.13,300.307,6to
278.01,272.487,6to
278.01,320.995,6to
346.599,363.784,6to
176.13,300.307,6to
201.874,340.624,6to
301.685,335.399,6to
403.869,360.889,6to
375.63,272.487,6to
418.293,342.672,6to
410.137,440.747,6to
449.879,428.532,6to
434.116,294.235,6to
353.537,298.895,6to
294.503,345.637,6to
390.601,294.235,6to
329.802,322.76,6to
396.931,428.532,6to
529.606,464.824,6to
574.399,410.95,6to
603.003,585.353,6to
475.319,509.873,6to
565.148,539.316,6to
486.091,493.491,6to
515.608,424.507,6to
502.219,598.627,6to
514.452,499.564,6to
572.208,531.761,6to
488.465,509.873,6to
532.588,443.148,6to
489.499,392.168,6to
573.791,412.927,6to
458.886,549.696,6to
462.477,464.048,6to
664.472,518.557,6to
574.399,551.602,6to
515.608,457.481,6to
514.452,539.316,6to
532.588,459.529,6to
544.638,533.526,6to
475.319,428.673,6to
565.148,499.564,6to
604.16,459.529,6to
502.28,358.7,6to
437.159,459.882,6to
565.148,539.316,6to
515.852,378.117,6to
405.999,353.122,6to
516.947,412.927,6to
460.469,481.77,6to
371.735,410.95,6to
502.28,512.344,6to
651.266,694.019,6to
544.638,408.338,6to
488.465,528.443,6to
529.606,481.77,6to
529.606,512.344,6to
475.319,492.503,6to
514.452,590.437,6to
561.253,557.251,6to
616.514,432.698,6to
500.515,551.602,6to
515.608,474.78,6to
488.465,492.503,6to
434.116,417.093,6to
574.399,551.602,6to
451.583,375.717,6to
449.879,412.927,6to
418.293,322.76,6to
424.805,320.995,6to
365.405,363.784,6to
486.7,432.698,6to
458.886,342.672,6to
489.499,533.526,6to
373.743,499.564,6to
489.499,512.344,6to
516.947,571.514,6to
515.852,394.71,6to
580.181,457.481,6to
488.465,412.927,6to
460.469,448.514,6to
544.638,474.78,6to
462.477,459.882,6to
393.583,369.786,6to
464.303,358.7,6to
500.271,499.564,6to
544.638,457.481,6to
449.879,380.8,6to
529.606,518.557,6to
418.293,360.889,6to
561.253,512.344,6to
551.637,443.148,6to
529.606,424.507,6to
473.493,481.77,6to
445.558,493.491,6to
403.869,360.889,6to
381.959,345.637,6to
447.384,401.559,6to
502.28,457.481,6to
573.791,598.627,6to
565.148,539.316,6to
551.637,598.627,6to
405.999,448.514,6to
551.637,551.602,6to
515.608,492.927,6to
516.947,548.637,6to
373.743,385.814,6to
500.515,443.148,6to
438.498,457.481,6to
502.219,444.136,6to
488.465,475.91,6to
403.869,322.76,6to
424.805,320.995,6to
437.159,412.927,6to
500.271,539.316,6to
503.436,369.997,6to
561.253,457.481,6to
437.159,475.91,6to
514.452,562.758,6to
486.091,476.192,6to
580.181,557.251,6to
424.257,380.8,6to
486.7,448.514,6to
486.091,443.148,6to
554.498,475.981,6to
475.319,492.503,6to
486.7,539.316,6to
375.63,375.717,6to
462.477,459.882,6to
500.271,562.758,6to
403.869,455.151,6to
561.253,585.353,6to
551.637,475.91,6to
354.572,316.053,6to
727.889,551.602,6to
458.947,358.7,6to
649.501,598.627,6to
390.601,410.809,6to
500.515,493.491,6to
529.606,375.717,6to
424.257,380.8,6to
443.915,353.122,6to
515.852,493.491,6to
410.137,392.168,6to
445.558,530.773,6to
410.137,557.251,6to
533.136,598.627,6to
434.116,464.824,6to
445.558,551.602,6to
462.477,528.443,6to
405.999,385.814,6to
352.625,360.889,6to
424.805,533.526,6to
449.879,444.136,6to
405.999,369.786,6to
476.84,408.338,6to
381.959,428.532,6to
460.469,539.316,6to
403.869,378.117,6to
476.84,424.507,6to
396.931,428.532,6to
373.743,353.122,6to
532.588,511.567,6to
424.805,457.481,6to
424.257,492.503,6to
451.34,369.997,6to
410.989,363.784,6to
447.384,401.559,6to
418.293,342.672,6to
352.625,476.192,6to
489.499,457.481,6to
405.999,316.053,6to
394.009,340.624,6to
403.139,435.098,6to
420.423,385.814,6to
418.293,322.76,6to
324.446,272.487,6to
381.959,380.8,6to
373.743,385.814,6to
410.989,345.637,6to
